AGENT_NAME,EPISODE,STEP,DATE,TIME,HEIGHT,MAX_HEIGHT,MAX_HEIGHT_LAST_STEP,X,Y
UNNAMED,1,0,2024-12-12,05:09:58,55,55,55,231,305
UNNAMED,2,0,2024-12-12,05:10:00,55,55,55,231,305
UNNAMED,3,0,2024-12-12,05:10:05,55,55,55,231,305
UNNAMED,4,0,2024-12-12,05:10:06,55,55,55,231,305
UNNAMED,5,0,2024-12-12,05:10:07,55,55,55,231,305
UNNAMED,6,0,2024-12-12,05:10:08,55,55,55,231,305
UNNAMED,7,0,2024-12-12,05:10:09,55,55,55,231,305
UNNAMED,8,0,2024-12-12,05:10:10,55,55,55,231,305
UNNAMED,9,0,2024-12-12,05:10:11,55,55,55,231,305
UNNAMED,10,0,2024-12-12,05:10:12,55,55,55,231,305
UNNAMED,11,0,2024-12-12,05:10:13,55,55,55,231,305
UNNAMED,12,0,2024-12-12,05:10:13,55,55,55,231,305
UNNAMED,13,0,2024-12-12,05:10:14,55,55,55,231,305
UNNAMED,14,0,2024-12-12,05:10:15,55,55,55,231,305
UNNAMED,15,0,2024-12-12,05:10:16,55,55,55,231,305
UNNAMED,16,0,2024-12-12,05:10:17,55,55,55,231,305
UNNAMED,17,0,2024-12-12,05:10:18,55,55,55,231,305
UNNAMED,18,0,2024-12-12,05:10:19,55,55,55,231,305
UNNAMED,19,0,2024-12-12,05:10:20,55,55,55,231,305
UNNAMED,20,0,2024-12-12,05:10:21,55,55,55,231,305
UNNAMED,21,0,2024-12-12,05:10:22,55,55,55,231,305
UNNAMED,22,0,2024-12-12,05:10:23,55,55,55,231,305
UNNAMED,23,0,2024-12-12,05:10:24,55,55,55,231,305
UNNAMED,24,0,2024-12-12,05:10:25,55,55,55,231,305
UNNAMED,25,0,2024-12-12,05:10:26,55,55,55,231,305
UNNAMED,26,0,2024-12-12,05:10:27,55,55,55,231,305
UNNAMED,27,0,2024-12-12,05:10:28,55,55,55,231,305
UNNAMED,28,0,2024-12-12,05:10:29,55,55,55,231,305
UNNAMED,29,0,2024-12-12,05:10:30,55,55,55,231,305
UNNAMED,30,0,2024-12-12,05:10:31,55,55,55,231,305
UNNAMED,31,0,2024-12-12,05:10:32,55,55,55,231,305
UNNAMED,32,0,2024-12-12,05:10:33,55,55,55,231,305
UNNAMED,33,0,2024-12-12,05:10:34,55,55,55,231,305
UNNAMED,34,0,2024-12-12,05:10:35,55,55,55,231,305
UNNAMED,35,0,2024-12-12,05:10:36,55,55,55,231,305
UNNAMED,36,0,2024-12-12,05:10:37,55,55,55,231,305
UNNAMED,37,0,2024-12-12,05:10:38,55,55,55,231,305
UNNAMED,38,0,2024-12-12,05:10:39,55,55,55,231,305
UNNAMED,39,0,2024-12-12,05:10:40,55,55,55,231,305
UNNAMED,40,0,2024-12-12,05:10:41,55,55,55,231,305
UNNAMED,41,0,2024-12-12,05:10:42,55,55,55,231,305
UNNAMED,42,0,2024-12-12,05:10:43,55,55,55,231,305
UNNAMED,43,0,2024-12-12,05:10:44,55,55,55,231,305
UNNAMED,44,0,2024-12-12,05:10:45,55,55,55,231,305
UNNAMED,45,0,2024-12-12,05:10:46,55,55,55,231,305
UNNAMED,46,0,2024-12-12,05:10:47,55,55,55,231,305
UNNAMED,47,0,2024-12-12,05:10:48,55,55,55,231,305
UNNAMED,48,0,2024-12-12,05:10:49,55,55,55,231,305
UNNAMED,49,0,2024-12-12,05:10:50,55,55,55,231,305
UNNAMED,50,0,2024-12-12,05:10:51,55,55,55,231,305
UNNAMED,51,0,2024-12-12,05:10:52,55,55,55,231,305
UNNAMED,52,0,2024-12-12,05:10:53,55,55,55,231,305
UNNAMED,53,0,2024-12-12,05:10:54,55,55,55,231,305
UNNAMED,54,0,2024-12-12,05:10:55,55,55,55,231,305
UNNAMED,55,0,2024-12-12,05:10:56,55,55,55,231,305
UNNAMED,56,0,2024-12-12,05:10:57,55,55,55,231,305
UNNAMED,57,0,2024-12-12,05:10:58,55,55,55,231,305
UNNAMED,58,0,2024-12-12,05:10:59,55,55,55,231,305
UNNAMED,59,0,2024-12-12,05:11:00,55,55,55,231,305
UNNAMED,60,0,2024-12-12,05:11:01,55,55,55,231,305
UNNAMED,61,0,2024-12-12,05:11:02,55,55,55,231,305
UNNAMED,62,0,2024-12-12,05:11:03,55,55,55,231,305
UNNAMED,63,0,2024-12-12,05:11:04,55,55,55,231,305
UNNAMED,64,0,2024-12-12,05:11:05,55,55,55,231,305
UNNAMED,65,0,2024-12-12,05:11:06,55,55,55,231,305
UNNAMED,66,0,2024-12-12,05:11:07,55,55,55,231,305
UNNAMED,67,0,2024-12-12,05:11:08,55,55,55,231,305
UNNAMED,68,0,2024-12-12,05:11:09,55,55,55,231,305
UNNAMED,69,0,2024-12-12,05:11:10,55,55,55,231,305
UNNAMED,70,0,2024-12-12,05:11:11,55,55,55,231,305
UNNAMED,71,0,2024-12-12,05:11:12,55,55,55,231,305
UNNAMED,72,0,2024-12-12,05:11:13,55,55,55,231,305
UNNAMED,73,0,2024-12-12,05:11:14,55,55,55,231,305
UNNAMED,74,0,2024-12-12,05:11:15,55,55,55,231,305
UNNAMED,75,0,2024-12-12,05:11:16,55,55,55,231,305
UNNAMED,76,0,2024-12-12,05:11:17,55,55,55,231,305
UNNAMED,77,0,2024-12-12,05:11:18,55,55,55,231,305
UNNAMED,78,0,2024-12-12,05:11:19,55,55,55,231,305
UNNAMED,79,0,2024-12-12,05:11:19,55,55,55,231,305
UNNAMED,80,0,2024-12-12,05:11:20,55,55,55,231,305
UNNAMED,81,0,2024-12-12,05:11:21,55,55,55,231,305
UNNAMED,82,0,2024-12-12,05:11:22,55,55,55,231,305
UNNAMED,83,0,2024-12-12,05:11:23,55,55,55,231,305
UNNAMED,84,0,2024-12-12,05:11:24,55,55,55,231,305
UNNAMED,85,0,2024-12-12,05:11:25,55,55,55,231,305
UNNAMED,86,0,2024-12-12,05:11:26,55,55,55,231,305
UNNAMED,87,0,2024-12-12,05:11:27,55,55,55,231,305
